2022-10-06 07:52:36.40, 31, 2->1, 4.13, car
2022-10-06 07:52:36.84, 31, 2->0, 4.7, car
2022-10-06 07:52:38.57, 31, 2->1, 3.56, car
2022-10-06 07:52:39.50, 31, 2->0, 3.4, car
2022-10-06 07:52:41.44, 31, 2->1, 5.64, car
2022-10-06 07:52:41.77, 31, 2->0, 4.0, car
2022-10-06 07:52:43.60, 31, 2->0, 3.95, car
2022-10-06 07:52:45.94, 31, 2->0, 3.94, truck_s
2022-10-06 07:52:48.60, 31, 0->1, 1.12, car
2022-10-06 07:52:49.17, 31, 2->1, 3.99, car
2022-10-06 07:52:50.60, 31, 2->1, 3.96, car
2022-10-06 07:52:59.67, 31, 2->0, 3.28, bus_m
2022-10-06 07:53:35.34, 31, 0->1, 2.44, car
2022-10-06 07:54:14.17, 31, 2->0, 2.14, car
2022-10-06 07:54:17.60, 31, 2->0, 3.43, truck_s
2022-10-06 07:54:25.87, 31, 2->0, 1.76, car
2022-10-06 07:54:27.87, 31, 2->0, 2.36, car
2022-10-06 07:54:29.00, 31, 0->2, 2.49, bus_m
2022-10-06 07:54:30.30, 31, 2->0, 2.83, car
2022-10-06 07:54:34.03, 31, 2->0, 3.32, car
2022-10-06 07:54:36.56, 31, 2->0, 3.06, car
2022-10-06 07:54:38.23, 31, 2->0, 3.96, car
2022-10-06 07:54:40.36, 31, 2->0, 4.83, car
2022-10-06 07:54:42.70, 31, 2->0, 4.24, car
2022-10-06 07:54:46.06, 31, 2->0, 4.09, car
2022-10-06 07:54:47.33, 31, 2->0, 3.88, car
2022-10-06 07:54:49.73, 31, 2->0, 3.92, car
2022-10-06 07:54:51.66, 31, 2->0, 4.23, car
2022-10-06 07:55:00.86, 31, 0->1, 0.32, car
2022-10-06 07:55:25.40, 31, 2->1, 2.69, car
2022-10-06 07:55:31.03, 31, 2->1, 2.65, car
2022-10-06 07:55:34.90, 31, 2->0, 1.59, car
2022-10-06 07:55:36.06, 31, 2->1, 3.4, car
2022-10-06 07:55:37.46, 31, 2->0, 1.64, car
2022-10-06 07:55:37.52, 31, 2->1, 2.65, car
2022-10-06 07:55:39.66, 31, 2->0, 3.03, car
2022-10-06 07:55:41.42, 31, 2->0, 2.98, car
2022-10-06 07:55:44.12, 31, 0->1, 1.66, car
2022-10-06 07:55:46.02, 31, 2->0, 3.43, car
2022-10-06 07:55:52.82, 31, 2->0, 3.51, car
2022-10-06 07:55:58.89, 31, 2->0, 3.73, car
2022-10-06 07:56:06.52, 31, 2->0, 3.8, car
2022-10-06 07:56:22.36, 31, 0->1, 0.85, car
2022-10-06 07:56:30.89, 31, 1->0, 1.53, car
2022-10-06 07:56:46.59, 31, 1->0, 1.47, car
2022-10-06 07:56:56.42, 31, 1->0, 1.37, car
2022-10-06 07:57:10.16, 31, 0->1, 2.57, car
2022-10-06 07:57:16.46, 31, 1->0, 1.72, car
2022-10-06 07:57:26.82, 31, 2->0, 1.99, bus_s
2022-10-06 07:57:35.32, 31, 2->0, 2.04, car
2022-10-06 07:57:41.05, 31, 2->0, 1.4, car
2022-10-06 07:57:42.65, 31, 2->0, 1.92, car
2022-10-06 07:58:03.95, 31, 0->2, 2.26, car
2022-10-06 07:58:59.98, 31, 0->1, 0.94, car
2022-10-06 07:59:01.21, 31, 2->0, 0.31, car
2022-10-06 07:59:05.65, 31, 2->0, 2.73, truck_s
2022-10-06 07:59:07.51, 31, 2->0, 4.73, bus_m
2022-10-06 07:59:12.28, 31, 2->0, 4.41, truck_s
