2022-10-05 07:34:58.42, 6, 2->0, 2.39, car
2022-10-05 07:34:58.66, 6, 0->2, 2.5, car
2022-10-05 07:34:59.82, 6, 2->0, 2.44, car
2022-10-05 07:35:01.66, 6, 2->0, 2.02, bus_m
2022-10-05 07:35:06.19, 6, 2->0, 2.53, car
2022-10-05 07:35:06.62, 6, 2->0, 3.04, car
2022-10-05 07:35:07.62, 6, 2->0, 1.85, bus_m
2022-10-05 07:35:09.06, 6, 2->0, 2.19, car
2022-10-05 07:35:10.26, 6, 2->0, 2.36, car
2022-10-05 07:35:12.69, 6, 2->0, 2.8, car
2022-10-05 07:35:13.89, 6, 2->0, 2.46, car
2022-10-05 07:35:14.79, 6, 0->2, 2.09, car
2022-10-05 07:35:17.26, 6, 0->2, 2.09, car
2022-10-05 07:35:18.99, 6, 0->2, 3.07, car
2022-10-05 07:35:20.49, 6, 2->0, 2.61, truck_s
2022-10-05 07:35:21.92, 6, 0->2, 2.27, car
2022-10-05 07:35:22.06, 6, 2->0, 2.93, car
2022-10-05 07:35:23.42, 6, 0->2, 2.76, car
2022-10-05 07:35:24.82, 6, 0->2, 3.08, car
2022-10-05 07:35:26.32, 6, 2->0, 3.07, truck_s
2022-10-05 07:35:28.96, 6, 2->0, 1.94, car
2022-10-05 07:35:33.02, 6, 3->1, 2.71, car
2022-10-05 07:35:34.62, 6, 3->0, 5.86, car
2022-10-05 07:35:35.72, 6, 3->1, 2.56, car
2022-10-05 07:35:37.86, 6, 3->1, 2.86, car
2022-10-05 07:35:40.39, 6, 3->1, 2.99, car
2022-10-05 07:35:40.99, 6, 3->1, 3.15, car
2022-10-05 07:35:41.82, 6, 3->1, 3.45, car
2022-10-05 07:35:44.16, 6, 3->1, 3.19, bus_s
2022-10-05 07:35:45.02, 6, 3->1, 2.95, car
2022-10-05 07:35:46.66, 6, 3->1, 3.36, car
2022-10-05 07:35:48.42, 6, 3->1, 3.34, car
2022-10-05 07:35:50.79, 6, 1->3, 3.4, truck_m
2022-10-05 07:35:54.89, 6, 1->3, 3.74, car
2022-10-05 07:36:08.22, 6, 1->0, 2.8, car
2022-10-05 07:36:11.82, 6, 1->0, 2.64, car
2022-10-05 07:36:13.69, 6, 1->0, 2.76, car
2022-10-05 07:36:15.39, 6, 1->0, 1.81, car
2022-10-05 07:36:16.35, 6, 1->0, 1.38, bus_m
2022-10-05 07:36:18.22, 6, 1->0, 2.83, bus_m
2022-10-05 07:36:18.95, 6, 1->0, 2.01, car
2022-10-05 07:36:26.72, 6, 1->0, 1.88, car
2022-10-05 07:36:29.02, 6, 1->0, 1.8, car
2022-10-05 07:36:30.85, 6, 1->0, 1.6, car
2022-10-05 07:36:31.19, 6, 1->0, 3.21, car
2022-10-05 07:36:36.65, 6, 1->0, 2.19, car
2022-10-05 07:36:38.29, 6, 2->1, 2.72, car
2022-10-05 07:36:40.12, 6, 2->1, 2.97, car
2022-10-05 07:36:41.82, 6, 2->1, 1.98, car
2022-10-05 07:36:42.72, 6, 2->1, 1.91, car
2022-10-05 07:36:44.22, 6, 2->1, 1.86, car
2022-10-05 07:36:45.02, 6, 2->1, 2.93, car
2022-10-05 07:36:45.99, 6, 2->0, 1.84, car
2022-10-05 07:36:47.55, 6, 2->0, 2.05, car
2022-10-05 07:36:47.92, 6, 2->1, 2.52, car
2022-10-05 07:36:48.65, 6, 2->0, 1.67, car
2022-10-05 07:36:52.55, 6, 2->1, 2.53, car
2022-10-05 07:36:52.69, 6, 2->0, 2.34, truck_s
2022-10-05 07:36:53.15, 6, 2->0, 1.61, car
2022-10-05 07:36:55.52, 6, 2->1, 1.89, car
2022-10-05 07:36:57.55, 6, 2->0, 2.04, car
2022-10-05 07:36:57.92, 6, 2->0, 1.77, car
2022-10-05 07:36:59.22, 6, 2->1, 1.73, car
2022-10-05 07:37:00.02, 6, 2->0, 1.74, car
2022-10-05 07:37:00.12, 6, 2->0, 1.64, car
2022-10-05 07:37:00.42, 6, 2->0, 1.83, car
2022-10-05 07:37:00.82, 6, 2->1, 1.76, car
2022-10-05 07:37:01.89, 6, 2->0, 2.41, car
2022-10-05 07:37:04.35, 6, 2->0, 1.62, truck_s
2022-10-05 07:37:05.29, 6, 2->1, 3.14, car
2022-10-05 07:37:05.32, 6, 2->1, 1.77, car
2022-10-05 07:37:06.45, 6, 2->0, 1.59, car
2022-10-05 07:37:07.55, 6, 2->0, 1.91, car
2022-10-05 07:37:13.82, 6, 2->0, 2.18, car
2022-10-05 07:37:17.95, 6, 2->0, 2.46, car
2022-10-05 07:37:18.62, 6, 2->1, 1.66, car
2022-10-05 07:37:19.15, 6, 2->0, 3.02, bus_m
2022-10-05 07:37:21.62, 6, 2->0, 2.53, car
2022-10-05 07:37:22.02, 6, 2->0, 1.78, car
2022-10-05 07:37:24.15, 6, 2->0, 1.73, car
2022-10-05 07:37:24.65, 6, 2->0, 2.07, truck_s
2022-10-05 07:37:26.55, 6, 2->0, 2.67, car
2022-10-05 07:37:27.89, 6, 2->0, 1.77, car
2022-10-05 07:37:30.59, 6, 2->0, 2.53, car
2022-10-05 07:37:31.09, 6, 2->3, 4.54, car
2022-10-05 07:37:31.32, 6, 2->1, 2.08, car
2022-10-05 07:37:32.85, 6, 2->1, 2.5, car
2022-10-05 07:37:32.95, 6, 3->0, 4.49, car
2022-10-05 07:37:33.02, 6, 2->0, 1.96, car
2022-10-05 07:37:33.39, 6, 2->0, 2.36, car
2022-10-05 07:37:36.25, 6, 2->0, 2.6, car
2022-10-05 07:37:36.52, 6, 2->0, 2.14, car
2022-10-05 07:37:36.62, 6, 2->0, 1.78, car
2022-10-05 07:37:38.09, 6, 2->0, 1.8, car
2022-10-05 07:37:39.99, 6, 2->0, 2.06, car
2022-10-05 07:37:40.32, 6, 2->0, 2.23, car
2022-10-05 07:37:41.39, 6, 0->2, 1.8, car
2022-10-05 07:37:42.75, 6, 2->0, 2.19, car
2022-10-05 07:37:43.95, 6, 2->0, 1.85, car
2022-10-05 07:37:43.99, 6, 2->0, 1.92, car
2022-10-05 07:37:44.89, 6, 2->0, 2.41, car
2022-10-05 07:37:45.22, 6, 2->0, 2.09, car
2022-10-05 07:37:46.52, 6, 0->2, 0.38, bus_m
2022-10-05 07:37:47.05, 6, 2->0, 2.02, car
2022-10-05 07:37:48.32, 6, 2->0, 1.9, car
2022-10-05 07:37:48.55, 6, 2->0, 2.31, car
2022-10-05 07:37:48.65, 6, 0->2, 1.43, bus_m
2022-10-05 07:37:49.95, 6, 2->0, 1.96, car
2022-10-05 07:37:52.22, 6, 2->0, 1.67, car
2022-10-05 07:37:54.12, 6, 0->2, 1.56, car
2022-10-05 07:37:54.32, 6, 2->0, 1.89, car
2022-10-05 07:37:56.12, 6, 2->0, 2.18, car
2022-10-05 07:37:57.35, 6, 2->0, 2.49, car
2022-10-05 07:37:57.99, 6, 2->0, 1.89, car
2022-10-05 07:37:59.25, 6, 2->0, 2.12, car
