2022-10-06 08:58:27.52, 17, 1->0, 24.13, car
2022-10-06 08:58:29.79, 17, 1->0, 23.68, car
2022-10-06 08:58:33.26, 17, 1->0, 18.28, car
2022-10-06 08:58:34.72, 17, 1->0, 21.72, car
2022-10-06 09:00:41.45, 17, 1->0, 13.08, car
2022-10-06 09:05:20.56, 17, 1->0, 40.85, car
2022-10-06 09:07:19.79, 17, 1->0, 23.21, car
2022-10-06 09:07:35.52, 17, 1->0, 1.81, car
2022-10-06 09:08:10.32, 17, 1->0, 25.81, car
2022-10-06 09:09:17.58, 17, 1->0, 32.6, car
2022-10-06 09:09:25.38, 17, 1->0, 26.35, car
2022-10-06 09:10:59.38, 17, 1->0, 2.1, car
2022-10-06 09:11:26.64, 17, 1->0, 30.84, car
2022-10-06 09:11:34.78, 17, 1->0, 40.31, car
2022-10-06 09:12:49.47, 17, 1->0, 39.38, car
2022-10-06 09:13:36.80, 17, 1->0, 22.26, car
2022-10-06 09:13:52.20, 17, 1->0, 1.86, car
2022-10-06 09:13:55.60, 17, 1->0, 25.74, car
2022-10-06 09:14:17.53, 17, 1->0, 16.42, bus_m
2022-10-06 09:14:22.86, 17, 1->0, 20.68, bus_m
2022-10-06 09:14:29.26, 17, 1->0, 22.45, bus_m
2022-10-06 09:15:42.79, 17, 1->0, 18.25, car
2022-10-06 09:15:49.66, 17, 1->0, 38.5, car
2022-10-06 09:19:56.14, 17, 1->0, 39.33, car
2022-10-06 09:20:47.08, 17, 1->0, 1.98, car
2022-10-06 09:20:51.01, 17, 1->0, 17.39, car
2022-10-06 09:22:34.60, 17, 1->0, 33.66, car
2022-10-06 09:23:03.16, 17, 1->0, 24.85, bus_m
2022-10-06 09:23:07.36, 17, 1->0, 29.94, bus_m
2022-10-06 09:23:12.90, 17, 1->0, 25.81, bus_m
2022-10-06 09:24:36.49, 17, 1->0, 28.44, car
2022-10-06 09:28:55.64, 17, 1->0, 2.9, car
2022-10-06 09:29:02.64, 17, 1->0, 20.81, car
2022-10-06 09:29:14.51, 17, 1->0, 34.36, car
2022-10-06 09:30:59.30, 17, 1->0, 25.32, car
2022-10-06 09:31:03.04, 17, 1->0, 27.15, car
2022-10-06 13:58:35.57, 17, 1->0, 6.84, car
2022-10-06 13:58:45.17, 17, 1->0, 7.55, bus_m
2022-10-06 14:00:03.04, 17, 1->0, 17.26, truck_m
2022-10-06 14:01:59.86, 17, 1->0, 10.74, car
2022-10-06 14:02:04.99, 17, 1->0, 12.55, car
2022-10-06 14:02:47.19, 17, 1->0, 32.06, car
2022-10-06 14:04:07.12, 17, 1->0, 30.32, car
2022-10-06 14:12:01.36, 17, 1->0, 23.97, car
2022-10-06 14:12:36.88, 17, 1->0, 18.59, car
2022-10-06 14:12:59.42, 17, 1->0, 1.28, car
2022-10-06 14:14:45.21, 17, 1->0, 30.75, truck_s
2022-10-06 14:15:17.08, 17, 1->0, 26.78, car
2022-10-06 14:15:21.14, 17, 1->0, 31.93, car
2022-10-06 14:17:02.64, 17, 1->0, 26.14, car
2022-10-06 14:19:07.50, 17, 1->0, 20.04, car
2022-10-06 14:19:30.23, 17, 1->0, 28.33, car
2022-10-06 14:19:33.03, 17, 1->0, 27.17, truck_s
2022-10-06 14:20:14.89, 17, 1->0, 26.53, car
2022-10-06 14:23:00.65, 17, 1->0, 20.45, car
2022-10-06 14:25:33.50, 17, 1->0, 6.78, car
2022-10-06 14:25:45.17, 17, 1->0, 18.22, car
2022-10-06 14:28:06.46, 17, 1->0, 29.6, car
2022-10-06 14:30:20.05, 17, 1->0, 17.65, car
2022-10-06 14:31:58.78, 17, 1->0, 22.66, car
2022-10-06 14:32:41.58, 17, 1->0, 19.8, car
2022-10-06 14:34:25.61, 17, 1->0, 39.9, car
2022-10-06 14:34:31.00, 17, 1->0, 40.55, car
2022-10-06 14:34:48.87, 17, 1->0, 28.56, car
2022-10-06 14:37:00.99, 17, 1->0, 22.56, car
2022-10-06 14:39:55.35, 17, 1->0, 8.98, car
2022-10-06 14:43:47.67, 17, 1->0, 17.14, car
2022-10-06 14:45:33.30, 17, 1->0, 25.86, car
